模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
distilled,TA,0.5,random,1,0.5618131868131868,0.542386441984066,0.5648248926581056,0.6598625779151917,0.5152499062417789,0.4997670626601444,0.5010482180293501,0.057069648264616815
distilled,TA,0.7,random,0,0.5,0.48338353617105634,0.502913986212217,0.7115077972412109,0.46711306451164764,0.6995690659212672,0.7002678779408339,0.057069648264616815
distilled,TA,0.7,random,1,0.5192307692307693,0.5024911329941726,0.5193101311184756,0.7206428647041321,0.4298284588302969,0.6995690659212672,0.7002678779408339,0.057069648264616815
distilled,TV,0.1,random,0,0.6153846153846154,0.6016247801017637,0.6200326037829589,0.5848936438560486,0.6317099401033649,0.10214302352667133,0.002678779408339157,0.15356394129979037
distilled,TV,0.1,random,1,0.6387362637362637,0.6256629648455351,0.6430685196309475,0.5834221839904785,0.6245392715227536,0.10214302352667133,0.002678779408339157,0.15362217563475425
distilled,TV,0.3,random,0,0.5796703296703297,0.5634703736265892,0.5854633919779731,0.6213440299034119,0.5750884952717147,0.29984859072909387,0.002678779408339157,0.33979734451432564
distilled,TV,0.3,random,1,0.5961538461538461,0.5817985163967409,0.6030065805402698,0.615207314491272,0.5693462338048021,0.29984859072909387,0.002678779408339157,0.34014675052410903
distilled,TV,0.5,random,0,0.5480769230769231,0.5402533684772458,0.5598533449870721,0.6446705460548401,0.5147189708321053,0.4997670626601444,0.002678779408339157,0.529874213836478
distilled,TV,0.5,random,1,0.5370879120879121,0.528349052490588,0.5468385122724954,0.6516236662864685,0.4849258272543365,0.4997670626601444,0.002678779408339157,0.5285930584672723
distilled,TV,0.7,random,0,0.46703296703296704,0.45273636911890874,0.4731210969801292,0.7025795578956604,0.4235979954897826,0.6995690659212672,0.002678779408339157,0.7180293501048218
distilled,TV,0.7,random,1,0.4642857142857143,0.4523048473865894,0.46897637979811746,0.7170056104660034,0.35469986259478437,0.6995690659212672,0.002678779408339157,0.7168646634055439
distilled,AV,0.1,random,0,0.6401098901098901,0.6264236932440528,0.6434357780670954,0.5812584161758423,0.6416969473452806,0.0,0.104530631260191,0.15356394129979037
distilled,AV,0.1,random,1,0.6428571428571429,0.6291761336504608,0.6458619551094468,0.5802637338638306,0.6441754989454063,0.0,0.104530631260191,0.15362217563475425
distilled,AV,0.3,random,0,0.6483516483516484,0.6364719943572558,0.6521977356517463,0.5776286125183105,0.6450881334742168,0.0,0.3017120894479385,0.33979734451432564
distilled,AV,0.3,random,1,0.6483516483516484,0.6352317644558394,0.6518710329937212,0.5806796550750732,0.6419733242591307,0.0,0.3017120894479385,0.34014675052410903
distilled,AV,0.5,random,0,0.635989010989011,0.623843796583709,0.6404056056923144,0.5843364596366882,0.6386940196460814,0.0,0.5010482180293501,0.529874213836478
distilled,AV,0.5,random,1,0.6387362637362637,0.6265032797092543,0.6427195087369512,0.5808387398719788,0.6454308576396185,0.0,0.5010482180293501,0.5285930584672723
distilled,AV,0.7,random,0,0.6277472527472527,0.6175876890162605,0.6332660720415823,0.5852646231651306,0.6355934638443886,0.0,0.7002678779408339,0.7180293501048218
distilled,AV,0.7,random,1,0.6277472527472527,0.6170425281927926,0.6331403957253442,0.585413932800293,0.6368453132826993,0.0,0.7002678779408339,0.7168646634055439
distilled,TAV,0.1,random,0,0.6236263736263736,0.6086448206484089,0.6270273916413831,0.5855933427810669,0.6320797453243655,0.10214302352667133,0.104530631260191,0.15356394129979037
distilled,TAV,0.1,random,1,0.625,0.6101953199380247,0.628281088153519,0.5871456861495972,0.6236134152770021,0.10214302352667133,0.104530631260191,0.15362217563475425
distilled,TAV,0.3,random,0,0.5796703296703297,0.5640760395987501,0.5824115365795812,0.6220649480819702,0.5850731512468123,0.29984859072909387,0.3017120894479385,0.33979734451432564
distilled,TAV,0.3,random,1,0.5961538461538461,0.5830069542209627,0.601275536174286,0.6206429600715637,0.5671106691474166,0.29984859072909387,0.3017120894479385,0.34014675052410903
distilled,TAV,0.5,random,0,0.5755494505494505,0.5684483596810117,0.5829716428238861,0.636130154132843,0.5403532591645382,0.4997670626601444,0.5010482180293501,0.529874213836478
distilled,TAV,0.5,random,1,0.5343406593406593,0.5262480634627268,0.5425250895383902,0.651645302772522,0.5239417583920812,0.4997670626601444,0.5010482180293501,0.5285930584672723
distilled,TAV,0.7,random,0,0.47527472527472525,0.4771813342946765,0.4788186145008202,0.6978797912597656,0.5077770728667539,0.6995690659212672,0.7002678779408339,0.7180293501048218
distilled,TAV,0.7,random,1,0.49175824175824173,0.49307915829998944,0.49060001770714395,0.7123562097549438,0.4370756605164536,0.6995690659212672,0.7002678779408339,0.7168646634055439
distilled,T,0.3,start,0,0.5961538461538461,0.5789582069302591,0.5994219038747681,0.6142744421958923,0.5856560650483597,0.29984859072909387,0.002678779408339157,0.057069648264616815
distilled,T,0.3,middle,0,0.5989010989010989,0.584133598930735,0.6049457202542782,0.6084790229797363,0.5890060351280132,0.29984859072909387,0.002678779408339157,0.057069648264616815
